D1,D19,D31,D40,D49,D61,D28,D58
74.8228,-160.4746,-66.6888,-175.4396,-179.816,-179.9141,83.528,-177.7549
-62.6046,-173.0298,70.037,177.3211,176.9013,65.2634,75.3194,172.7838
-62.7528,-174.0844,66.5989,63.8083,175.7142,179.9213,75.1925,172.7216
176.3229,-69.5524,-171.2591,-65.2085,-173.3704,-65.395,152.9056,-179.005
-62.5515,-172.9457,70.4129,174.0535,66.0511,177.0587,75.1891,172.6148
-60.1033,-60.6164,-176.8137,67.0556,176.7795,-179.9992,76.0235,173.0122
175.7274,-71.3967,-176.5165,175.9116,62.7372,61.8392,152.6212,-179.4707
-62.6116,-172.8392,70.6585,177.8555,-176.911,-65.5948,75.0334,172.506
70.8531,-174.7703,-174.091,-65.7824,-179.3922,66.0914,84.0296,179.485
70.4148,-174.8911,177.9088,65.9831,172.9049,65.3432,83.7805,179.3677
171.5863,62.6888,173.86,-176.0725,-62.8435,-61.926,158.9221,-173.4591
171.7807,62.5009,169.1389,65.1155,179.2729,-66.2068,158.8319,-173.622
71.016,-176.7002,71.2225,-178.3724,-66.2173,-176.6509,83.2454,178.8406
-62.2189,-170.8845,-173.843,-65.5157,-179.4384,66.0945,76.9471,174.0292
59.4166,60.9246,176.1224,-67.9435,-176.7054,179.9325,159.8595,-171.8194
-62.5017,-170.988,178.1824,66.3211,172.8687,65.3901,75.9896,173.2823
174.9464,-73.4321,177.8089,62.0648,61.8809,175.7701,152.5693,-179.6332
58.9963,58.4304,172.4881,179.4826,179.6204,179.9221,148.276,-85.4882
176.4459,-69.1815,-170.4176,-65.1619,-179.3989,66.1104,152.7252,-179.1586
-62.2521,-171.955,72.3516,-177.6009,-65.9298,-176.5903,75.6164,173.0176
65.5872,-177.8273,-178.9148,179.699,-179.7937,179.973,112.5964,-75.989
70.6041,-174.5143,178.3771,66.9736,179.5598,-65.9432,83.7604,179.3473
174.8786,-73.7301,177.984,65.2792,172.6569,65.2524,152.5237,-179.7031
-58.549,-59.3211,-173.9429,-179.596,-179.8146,179.9876,86.5369,85.5221
62.1632,60.7339,170.2959,65.1266,176.4809,179.9358,80.7482,176.1525
-60.4826,-61.6107,-169.6555,-64.5276,-176.618,-179.8925,155.1699,-175.0031
-62.5187,-170.7567,178.4427,67.2118,179.5742,-65.9827,76.0305,173.3498
177.0391,-67.4677,-64.2424,-174.7319,-176.8424,-65.2341,151.569,179.9351
61.993,60.673,173.8639,176.6171,65.7056,177.0261,80.5203,175.9775
-179.9362,-175.158,-179.4656,179.8057,-179.8177,-179.9714,102.5067,86.9034
177.2892,-66.8482,-63.792,-171.0512,-65.6907,-176.6943,151.5275,179.9977
177.0281,-67.5675,-64.6204,-174.9606,177.1689,65.7045,151.6469,179.9841
177.4835,-65.5317,-60.0437,-60.7652,-175.2814,-179.7748,151.7239,-179.7617
70.0322,-175.1334,-174.8197,-65.4297,-176.4174,-179.9208,85.0647,85.9744
69.8901,-175.2458,-178.7773,-176.774,-65.8579,-177.0371,85.0362,86.0727
-60.5704,-62.2673,-173.6816,-176.1051,-65.8551,-176.7198,154.0557,-175.8783
69.8513,-175.3884,-178.8028,179.854,177.1291,65.4489,85.1055,86.098
171.0743,62.3404,178.1744,-64.9642,-63.4332,-176.2419,158.1123,-173.522
69.8355,-175.3427,-178.8952,179.9798,-176.82,-65.5066,85.1805,86.1279
61.8499,60.5841,173.9272,-177.2143,-66.4191,-176.7814,80.5149,175.8874
-60.5081,-62.2476,-173.7496,-179.324,-176.9346,-65.4015,153.8406,-176.1658
-60.5614,-62.3073,-173.7319,-179.3641,177.1884,65.5428,153.7088,-176.3558
174.8927,-73.6807,178.0073,66.0389,179.2131,-66.1512,152.417,-179.8704
69.8852,-175.3962,-178.912,176.6013,66.1358,176.7604,85.1057,86.0181
176.6051,-68.8552,-170.7948,-65.0228,-176.5148,-179.941,151.6157,-86.0666
171.3723,63.2981,177.0585,-67.3953,-172.945,-65.4557,160.2103,-172.3
-60.5783,-62.4925,-173.796,177.3032,66.2892,176.6944,153.7081,-176.1741
-62.9057,-172.4756,-178.6098,179.9419,-179.824,-179.9759,109.4831,-75.6478
71.2311,-174.6889,72.2847,178.1865,-179.8427,179.8937,83.8082,86.2637
69.7343,-175.1381,177.4281,66.0042,176.382,179.9004,85.13,86.0347
62.4894,61.0412,173.9534,179.6032,179.6252,179.9405,88.1468,85.5823
176.1648,-69.9125,-175.302,-179.673,177.2659,65.5789,151.7525,-85.9763
176.942,-67.8798,-65.3366,-178.1821,66.9916,176.8544,151.6578,179.8411
176.2562,-69.5416,-175.2258,-176.0393,-65.7506,-176.7159,151.6384,-86.0944
-60.1446,-170.9468,-174.6587,-65.3879,-176.5792,-179.9512,83.6036,86.3443
171.5776,60.4359,168.9741,64.9723,176.6301,179.9617,151.9045,-86.624
176.1702,-70.2247,-175.6687,177.0043,66.2617,176.6657,151.7454,-85.9046
-60.5162,-63.3656,-177.4413,66.9958,176.5399,179.9595,152.44,-177.1887
171.3235,62.8893,176.1264,-68.9492,179.8701,65.7054,159.9068,-172.5401
-60.2065,-170.9493,-178.5241,-176.6892,-65.7885,-176.9854,83.5258,86.4892
-61.143,-62.8874,-173.7412,-179.4107,-179.8168,-179.9817,146.5889,-85.4161
177.3807,178.7628,63.4081,175.2514,179.563,179.9167,-63.3235,-178.383
178.4729,-177.6819,-178.8622,-176.1915,-62.4146,-61.9872,118.6303,-179.6554
61.5611,60.4083,176.8477,-67.4464,-176.4571,179.9849,80.2983,175.7279
-60.0482,-59.5066,-62.3337,-174.7843,-179.8128,-179.8388,152.7305,-176.8143
-60.224,-170.903,-178.584,-179.9028,177.1611,65.4752,83.6125,86.3256
-60.1934,-170.9261,-178.4869,-179.81,-176.6734,-65.3723,83.6172,86.3365
171.508,60.1482,172.6506,176.5569,65.6695,177.0721,151.7898,-86.4397
-60.2185,-171.2179,-178.6868,176.5087,66.1473,176.8089,83.6045,86.3215
178.3455,-177.8621,-179.3751,175.446,62.6765,61.9673,119.1647,-179.9808
175.5615,-71.5994,-179.7245,66.2364,176.292,179.9706,151.7122,-85.9975
178.5952,-177.0237,178.3316,62.0628,60.8618,175.3935,118.435,-179.7804
-60.1486,-170.7595,177.9235,66.1945,176.3503,179.9,83.6237,86.4906
70.5414,-177.8193,179.7972,-179.9601,-179.8814,-179.992,-63.6753,179.266
171.43,60.1189,172.6809,179.6007,176.7142,65.4577,151.8913,-86.3853
178.5539,-177.9923,-176.0119,-65.9378,-173.2112,-65.367,117.6762,-179.9693
171.4494,59.9911,172.6574,179.4732,-177.3399,-65.5946,151.7911,-86.5196
-59.6572,-170.6561,72.6735,178.4259,-179.7116,179.9134,82.5438,86.581
171.3503,60.0891,172.7736,-177.1608,-66.4489,-176.73,151.7458,-86.4092
59.2223,53.7996,69.2276,177.0201,-179.4067,-179.8653,157.1321,-173.0747
177.8596,-176.9512,-175.3996,-65.1468,-176.4862,-179.9088,-64.4594,179.749
172.1616,63.7513,-96.1869,-179.713,179.1182,-179.977,159.6747,-172.6578
178.0987,-71.5804,-175.6882,179.9347,-179.9053,179.9851,-66.3014,-179.552
179.699,-177.4676,69.3005,65.7214,176.2513,179.9868,115.6658,-179.4965
179.814,-176.9864,71.2567,174.4537,66.2399,177.1287,115.3865,-179.2427
179.5108,-177.361,71.1236,178.5572,-176.7829,-65.5678,116.5367,-179.3992
177.8639,-177.0664,-179.6685,-176.6385,-65.8648,-176.921,-64.6172,179.4332
178.3806,-177.1268,177.6308,65.8411,172.9653,65.3657,119.2748,-179.8874
178.6595,-177.9078,-175.7634,-66.4372,-179.6265,66.0537,117.4435,-179.9388
177.7626,-177.3655,179.9684,-179.8319,-176.861,-65.448,-64.6737,179.7397
177.7717,-177.3883,179.866,-179.8351,177.1881,65.5397,-64.5697,179.8118
177.7307,-177.6572,179.6221,176.3855,65.9011,176.7997,-64.5583,179.9148
177.7329,-177.205,176.1696,66.5984,176.4655,179.9577,-64.6715,179.8126
179.6527,-177.2891,71.7352,-177.4795,-65.759,-176.6424,116.2054,-179.6004
171.0183,59.9994,175.6018,-68.0201,-176.5402,179.9693,151.6015,-86.3558
178.3405,-177.1716,177.2423,66.4702,179.4685,-66.0726,119.4182,-179.7879
169.8035,53.8568,68.6414,176.9615,-176.9883,-65.7892,156.662,-173.7786
169.8099,54.017,68.7053,177.022,177.4027,65.6796,156.5594,-173.9879
169.8318,54.2353,69.2912,173.9636,67.0104,176.6293,156.7636,-173.9846
59.9763,-98.2994,179.3522,179.0112,179.9428,-179.9899,155.7581,-179.3893
